date,pi_growth,pi_risk,pi_drawdown,pi_turnover
1997-01-01,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-02,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-08,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-09,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-15,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-16,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-22,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-23,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-29,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-30,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-01-31,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-06,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-07,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-10,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-11,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-12,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-13,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-14,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-17,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-18,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-19,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-20,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-21,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-24,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-25,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-26,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-27,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-02-28,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-03-03,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-03-04,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
1997-03-05,0.05950401939326049,0.8061027924067001,0.08689705350272955,0.047496134697309865
